DIS,INDUS,CRIM,RM,MEDV
8.0555,5.86,0.19657,6.226,20.5
7.8265,5.86,0.16439,6.433,24.5
7.8265,5.86,0.19073,6.718,26.2
7.3967,5.86,0.1403,6.487,24.4
7.3967,5.86,0.21409,6.438,24.8
8.9067,5.86,0.08221,6.957,29.6
8.9067,5.86,0.36894,8.259,42.8
9.2203,3.64,0.04819,6.108,21.9
9.2203,3.64,0.03548,5.876,20.9
6.3361,3.75,0.01538,7.454,44.0
1.801,3.97,0.61154,8.704,50.0
1.8946,3.97,0.66351,7.333,36.0
2.0107,3.97,0.65665,6.842,30.1
2.1121,3.97,0.54011,7.203,33.8
2.1398,3.97,0.53412,7.52,43.1
2.2885,3.97,0.52014,8.398,48.8
2.0788,3.97,0.82526,7.327,31.0
1.9301,3.97,0.55007,7.206,36.5
1.9865,3.97,0.76162,5.56,22.8
2.1329,3.97,0.7857,7.014,30.7
2.4216,3.97,0.57834,8.297,50.0
2.872,3.97,0.5405,7.47,43.5
3.9175,6.96,0.09065,5.92,20.7
4.429,6.96,0.29916,5.856,21.1
4.429,6.96,0.16211,6.24,25.2
3.9175,6.96,0.1146,6.538,24.4
4.3665,6.96,0.22188,7.691,35.2
4.0776,6.41,0.05644,6.758,32.4
4.2673,6.41,0.09604,6.854,32.0
4.7872,6.41,0.10469,7.267,33.2
4.8628,6.41,0.06127,6.826,33.1
4.1403,6.41,0.07978,6.482,29.1
4.1007,3.33,0.21038,6.812,35.1
4.6947,3.33,0.03578,7.82,45.4
5.2447,3.33,0.03705,6.968,35.4
5.2119,3.33,0.06129,7.645,46.0
5.885,1.21,0.01501,7.923,50.0
7.3073,2.97,0.00906,7.088,32.2
7.3073,2.25,0.01096,6.453,22.0
9.0892,1.76,0.01965,6.23,20.1
7.3172,5.32,0.03871,6.209,23.2
7.3172,5.32,0.0459,6.315,22.3
7.3172,5.32,0.04297,6.565,24.8
5.1167,4.95,0.03502,6.861,28.5
5.1167,4.95,0.07886,7.148,37.3
5.1167,4.95,0.03615,6.63,27.9
5.5027,13.92,0.08265,6.127,23.9
5.5027,13.92,0.08199,6.009,21.7
5.9604,13.92,0.12932,6.678,28.6
5.9604,13.92,0.05372,6.549,27.1
6.32,13.92,0.14103,5.79,20.3
7.8278,2.24,0.06466,6.345,22.5
7.8278,2.24,0.05561,7.041,29.0
7.8278,2.24,0.04417,6.871,24.8
5.4917,6.09,0.03537,6.59,22.0
5.4917,6.09,0.09266,6.495,26.4
5.4917,6.09,0.1,6.982,33.1
4.022,2.18,0.05515,7.236,36.1
3.37,2.18,0.05479,6.616,28.4
3.0992,2.18,0.07503,7.42,33.4
3.1827,2.18,0.04932,6.849,28.2
3.3175,9.9,0.49298,6.635,22.8
3.1025,9.9,0.3494,5.972,20.3
2.5194,9.9,2.63548,4.973,16.1
2.6403,9.9,0.79041,6.122,22.1
2.834,9.9,0.26169,6.023,19.4
3.2628,9.9,0.26938,6.266,21.6
3.6023,9.9,0.3692,6.567,23.8
3.945,9.9,0.25356,5.705,16.2
3.9986,9.9,0.31827,5.914,17.8
4.0317,9.9,0.24522,5.782,19.8
3.5325,9.9,0.40202,6.382,23.1
4.0019,9.9,0.47547,6.113,21.0
4.5404,7.38,0.1676,6.426,23.8
4.5404,7.38,0.18159,6.376,23.1
4.7211,7.38,0.35114,6.041,20.4
4.7211,7.38,0.28392,5.708,18.5
4.7211,7.38,0.34109,6.415,25.0
5.4159,7.38,0.19186,6.431,24.6
5.4159,7.38,0.30347,6.312,23.0
5.4159,7.38,0.24103,6.083,22.2
5.2146,3.24,0.06617,5.868,19.3
5.2146,3.24,0.06724,6.333,22.6
5.8736,3.24,0.04544,6.144,19.8
6.6407,6.06,0.05023,5.706,17.1
6.6407,6.06,0.03466,6.031,19.4
6.4584,5.19,0.05083,6.316,22.2
6.4584,5.19,0.03738,6.31,20.7
5.9853,5.19,0.03961,6.037,21.1
5.2311,5.19,0.03427,5.869,19.5
5.615,5.19,0.03041,5.895,18.5
4.8122,5.19,0.03306,6.059,20.6
4.8122,5.19,0.05497,5.985,19.0
4.8122,5.19,0.06151,5.968,18.7
7.0379,1.52,0.01301,7.241,32.7
6.2669,1.89,0.02498,6.54,16.5
5.7321,3.78,0.02543,6.696,23.9
6.4654,3.78,0.03049,6.874,31.2
8.0136,4.39,0.03113,6.014,17.5
8.0136,4.39,0.06162,5.898,17.2
8.5353,4.15,0.0187,6.516,23.1
8.344,2.01,0.01501,6.635,24.5
8.7921,1.25,0.02899,6.939,26.6
8.7921,1.25,0.06211,6.49,22.9
10.7103,1.69,0.0795,6.579,24.1
10.7103,1.69,0.07244,5.884,18.6
12.1265,2.02,0.01709,6.728,30.1
10.5857,1.91,0.04301,5.663,18.2
10.5857,1.91,0.10659,5.936,20.6
2.1222,18.1,8.98296,6.212,17.8
2.5052,18.1,3.8497,6.395,21.7
2.7227,18.1,5.20177,6.127,22.7
2.5091,18.1,4.26131,6.112,22.6
2.5182,18.1,4.54192,6.398,25.0
2.2955,18.1,3.83684,6.251,19.9
2.1036,18.1,3.67822,5.362,20.8
1.9047,18.1,4.22239,5.803,16.8
1.9047,18.1,3.47428,8.78,21.9
1.6132,18.1,4.55587,3.561,27.5
1.7523,18.1,3.69695,4.963,21.9
1.5106,18.1,13.5222,3.863,23.1
1.3325,18.1,4.89822,4.97,50.0
1.3567,18.1,5.66998,6.683,50.0
1.2024,18.1,6.53876,7.016,50.0
1.1691,18.1,9.2323,6.216,50.0
1.1296,18.1,8.26725,5.875,50.0
1.1742,18.1,11.1081,4.906,13.8
1.137,18.1,18.4982,4.138,13.8
1.3163,18.1,19.6091,7.313,15.0
1.3449,18.1,15.288,6.649,13.9
1.358,18.1,9.82349,6.794,13.3
1.3861,18.1,23.6482,6.38,13.1
1.3861,18.1,17.8667,6.223,10.2
1.4165,18.1,88.9762,6.968,10.4
1.5192,18.1,15.8744,6.545,10.9
1.5804,18.1,9.18702,5.536,11.3
1.5331,18.1,7.99248,5.52,12.3
1.4395,18.1,20.0849,4.368,8.8
1.4261,18.1,16.8118,5.277,7.2
1.4672,18.1,24.3938,4.652,10.5
1.5184,18.1,22.5971,5.0,7.4
1.5895,18.1,14.3337,4.88,10.2
1.7281,18.1,8.15174,5.39,11.5
1.9265,18.1,6.96215,5.713,15.1
2.1678,18.1,5.29305,6.051,23.2
1.77,18.1,11.5779,5.036,9.7
1.7912,18.1,8.64476,6.193,13.8
1.7821,18.1,13.3598,5.887,12.7
1.7257,18.1,8.71675,6.471,13.1
1.6768,18.1,5.87205,6.405,12.5
1.6334,18.1,7.67202,5.747,8.5
1.4896,18.1,38.3518,5.453,5.0
1.5004,18.1,9.91655,5.852,6.3
1.5888,18.1,25.0461,5.987,5.6
1.5741,18.1,14.2362,6.343,7.2
1.639,18.1,9.59571,6.404,12.1
1.7028,18.1,24.8017,5.349,8.3
1.6074,18.1,41.5292,5.531,8.5
1.4254,18.1,67.9208,5.683,5.0
1.1781,18.1,20.7162,4.138,11.9
1.2852,18.1,11.9511,5.608,27.9
1.4547,18.1,7.40389,5.617,17.2
1.4655,18.1,14.4383,6.852,27.5
1.413,18.1,51.1358,5.757,15.0
1.5275,18.1,14.0507,6.657,17.2
1.5539,18.1,18.811,4.628,17.9
1.5894,18.1,28.6558,5.155,16.3
1.6582,18.1,45.7461,4.519,7.0
1.8347,18.1,18.0846,6.434,7.2
1.8195,18.1,10.8342,6.782,7.5
1.6475,18.1,25.9406,5.304,10.4
1.8026,18.1,73.5341,5.957,8.8
1.794,18.1,11.8123,6.824,8.4
1.8589,18.1,11.0874,6.411,16.7
1.8746,18.1,7.02259,6.006,14.2
1.9512,18.1,12.0482,5.648,20.8
2.0218,18.1,7.05042,6.103,13.4
2.0635,18.1,8.79212,5.565,11.7
1.9096,18.1,15.8603,5.896,8.3
1.9976,18.1,12.2472,5.837,10.2
1.8629,18.1,37.6619,6.202,10.9
1.9356,18.1,7.36711,6.193,11.0
1.9682,18.1,9.33889,6.38,9.5
2.0527,18.1,8.49213,6.348,14.5
2.0882,18.1,10.0623,6.833,14.1
2.2004,18.1,6.44405,6.425,16.1
2.3158,18.1,5.58107,6.436,14.3
2.2222,18.1,13.9134,6.208,11.7
2.1247,18.1,11.1604,6.629,13.4
2.0026,18.1,14.4208,6.461,9.6
1.9142,18.1,15.1772,6.152,8.7
1.8206,18.1,13.6781,5.935,8.4
1.8172,18.1,9.39063,5.627,12.8
1.8662,18.1,22.0511,5.818,10.5
2.0651,18.1,9.72418,6.406,17.1
2.0048,18.1,5.66637,6.219,18.4
1.9784,18.1,9.96654,6.485,15.4
1.8956,18.1,12.8023,5.854,10.8
1.9879,18.1,10.6718,6.459,11.8
2.072,18.1,6.28807,6.341,14.9
2.198,18.1,9.92485,6.251,12.6
2.2616,18.1,9.32909,6.185,14.1
2.185,18.1,7.52601,6.417,13.0
2.3236,18.1,6.71772,6.749,13.4
2.3552,18.1,5.44114,6.655,15.2
2.3682,18.1,5.09017,6.297,16.1
2.4527,18.1,8.24809,7.393,17.8
2.4961,18.1,9.51363,6.728,14.9
2.4358,18.1,4.75237,6.525,14.1
2.5806,18.1,4.66883,5.976,12.7
2.7792,18.1,8.20058,5.936,13.5
2.7831,18.1,7.75223,6.301,14.9
2.7175,18.1,6.80117,6.081,20.0
2.5975,18.1,4.81213,6.701,16.4
2.5671,18.1,3.69311,6.376,17.7
2.7344,18.1,6.65492,6.317,19.5
2.8016,18.1,5.82115,6.513,20.2
2.9634,18.1,7.83932,6.209,21.4
3.0665,18.1,3.1636,5.759,19.9
2.8715,18.1,3.77498,5.952,19.0
2.5403,18.1,4.42228,6.003,19.1
2.9084,18.1,15.5757,5.926,19.1
2.8237,18.1,13.0751,5.713,20.1
3.0334,18.1,4.34879,6.167,19.9
3.0993,18.1,4.03841,6.229,19.6
2.8965,18.1,3.56868,6.437,23.2
2.5329,18.1,4.64689,6.98,29.8
2.4298,18.1,8.05579,5.427,13.8
2.206,18.1,6.39312,6.162,13.3
2.3053,18.1,4.87141,6.484,16.7
2.1007,18.1,15.0234,5.304,12.0
2.1705,18.1,10.233,6.185,14.6
1.9512,18.1,14.3337,6.229,21.4
3.4242,18.1,5.82401,6.242,23.0
3.3317,18.1,5.70818,6.75,23.7
3.4106,18.1,5.73116,7.061,25.0
4.0983,18.1,2.81838,5.762,21.8
3.724,18.1,2.37857,5.871,20.6
3.9917,18.1,3.67367,6.312,21.2
3.5459,18.1,5.69175,6.114,19.1
3.1523,18.1,4.83567,5.905,20.6
1.8209,27.74,0.15086,5.454,15.2
1.7554,27.74,0.18337,5.414,7.0
1.8226,27.74,0.20746,5.093,8.1
1.8681,27.74,0.10574,5.983,13.6
2.1099,27.74,0.11132,5.983,20.1
2.3817,9.69,0.17331,5.707,21.8
2.3817,9.69,0.27957,5.926,24.5
2.7986,9.69,0.17899,5.67,23.1
2.7986,9.69,0.2896,5.39,19.7
2.8927,9.69,0.26838,5.794,18.3
2.4091,9.69,0.23912,6.019,21.2
2.3999,9.69,0.17783,5.569,17.5
2.4982,9.69,0.22438,6.027,16.8
2.4786,11.93,0.06263,6.593,22.4
2.2875,11.93,0.04527,6.12,20.6
2.1675,11.93,0.06076,6.976,23.9
2.3889,11.93,0.10959,6.794,22.0
2.505,11.93,0.04741,6.03,11.9
